fechas,Cripto,prices2,market_caps2,total_volumes2,Open,High,Low,Close,Ranking,Body_Ratio,Clasificación,Daily_Return
2022-09-29,bitcoin,19444.787771362975,372892084645.0075,47494258189.70422,19412.82,19645.52,18843.01,19591.51,1,0.2226638920387263,Indecisión,0.009204742020994416
2022-09-30,bitcoin,19563.765161776904,374830625219.6003,37537716230.48356,19590.54,20185.0,19155.36,19422.61,1,0.163095839322482,Indecisión,-0.008621081274490683
2022-10-01,bitcoin,19476.92659600407,373222100680.7475,37848666330.67224,19422.61,19484.0,19159.42,19310.95,1,0.3440138024523977,Fuerte Volatilidad,-0.005748969886127497
2022-10-02,bitcoin,19314.463835217448,370204708063.3375,15943514602.722155,19312.24,19395.91,18920.35,19056.8,1,0.5371351669610599,Fuerte Volatilidad,-0.01316092683166814
2022-10-03,bitcoin,19065.153837148988,366195863790.6755,17859684587.64641,19057.74,19719.1,18959.68,19629.08,1,0.7523373100524103,Fuerte Dirección Alcista,0.03003022543134226
2022-10-04,bitcoin,19620.567543591394,375767908259.0832,26634227151.925247,19629.08,20475.0,19490.6,20337.82,1,0.7199715562779326,Fuerte Dirección Alcista,0.03610663362725086
2022-10-05,bitcoin,20345.398520106643,390177741507.47705,30974520027.944332,20337.82,20365.6,19730.0,20158.26,1,0.2825047199496566,Indecisión,-0.00882887153097045
2022-10-06,bitcoin,20161.830614985047,386368899196.38165,29366342083.101757,20158.26,20456.6,19853.0,19960.67,1,0.3273525513585166,Fuerte Volatilidad,-0.00980193727037948
2022-10-07,bitcoin,19949.051041418512,382505641462.15643,31354758329.142307,19960.67,20068.82,19320.0,19530.09,1,0.5750113511925407,Fuerte Volatilidad,-0.02157142019781888
2022-10-08,bitcoin,19457.308951251147,373170861484.13965,25445042398.337975,19530.09,19627.38,19237.14,19417.96,1,0.287335998359985,Indecisión,-0.005741396993050318
2022-10-09,bitcoin,19418.037989243952,372391945609.07526,12996183216.30484,19416.52,19558.0,19316.04,19439.02,1,0.09299057695486891,Indecisión,0.0010845629510001231
