,Cripto,fechas,pricesnew,market_capsnew,total_volumesnew
87,bitcoin,2022-11-11,17594.923500278233,336597208099.6668,65200666543.364624
88,bitcoin,2022-11-12,17080.215260565037,325921112619.09045,45030331310.74984
89,bitcoin,2022-11-13,16797.98748257006,322330608513.1628,21893997140.860477
90,bitcoin,2022-11-14,16344.342316001042,313605586517.2854,20411619109.007805
91,bitcoin,2022-11-15,16645.828500283515,320598982524.9025,37539226046.106285
92,bitcoin,2022-11-16,16890.52938386464,324608360619.00433,28676275678.9418
93,bitcoin,2022-11-17,16689.39673273771,320099234744.2721,26922027947.408913
94,bitcoin,2022-11-18,16718.361228055077,321287480849.7667,22011291267.356167
95,bitcoin,2022-11-19,16707.022778986535,320876918352.4405,20942172141.414623
96,bitcoin,2022-11-20,16712.729525794817,321151208473.7581,10844466289.901127
97,bitcoin,2022-11-21,16304.07685562355,313370674122.3842,15680401749.958439
98,bitcoin,2022-11-22,15814.335280855257,303834128504.1595,31057277097.34788
99,bitcoin,2022-11-23,16171.628978315088,311463297390.4882,25091849198.571053
100,bitcoin,2022-11-24,16608.00998544357,319494112507.07404,26858079944.170044
101,bitcoin,2022-11-25,16596.03575847268,318949911014.53784,20949512927.386944
102,bitcoin,2022-11-26,16524.449007720887,317919884011.3825,18933018587.76629
103,bitcoin,2022-11-27,16456.156062496684,316206865319.883,18243019109.753235
104,bitcoin,2022-11-28,16459.149543755877,316487666895.4407,16551822516.185429
105,bitcoin,2022-11-29,16222.210728731225,311810991501.448,24566056814.212288
106,bitcoin,2022-11-30,16441.979978419113,316170903326.0224,24663035431.352062
107,bitcoin,2022-12-01,17186.502572066118,330763402606.7043,30676053555.32337
108,bitcoin,2022-12-02,16972.73406077455,326141917292.63745,23319572025.36399
109,bitcoin,2022-12-03,17084.87334047068,328178365692.1309,20945433171.615204
110,bitcoin,2022-12-04,16923.38287008033,326498242602.6305,16931408153.950111
111,bitcoin,2022-12-05,17149.93175096291,329544949093.6664,18214353301.13762
112,bitcoin,2022-12-06,16973.372577553495,326635737516.3175,23204017213.929634
113,bitcoin,2022-12-07,17085.64314125141,328108161816.87274,21026126511.19885
114,bitcoin,2022-12-08,16851.30346863184,324178677956.7833,21192130005.603653
115,bitcoin,2022-12-09,17235.014157992136,331389860355.59094,22674029585.253864
116,bitcoin,2022-12-10,17149.824203925327,329756788298.6587,23179829829.170135
117,bitcoin,2022-12-11,17125.364927688952,329283186564.5152,14234368489.844261
118,bitcoin,2022-12-12,17101.038019732932,328868814164.99066,15681124918.738192
119,bitcoin,2022-12-13,17179.596038203494,330715694645.24335,21633829199.489113
120,bitcoin,2022-12-14,17784.162894053265,342102502914.68976,28941242217.591747
121,bitcoin,2022-12-15,17808.71617265881,342692750075.4062,27267536668.811485
122,bitcoin,2022-12-16,17338.358126632633,333854506370.7365,22754686787.817104
123,bitcoin,2022-12-17,16623.75782614431,318992400741.96515,22250411214.773224
124,bitcoin,2022-12-18,16806.48559206152,323096167353.6004,15086383815.776106
125,bitcoin,2022-12-19,16742.816663834055,322740705484.67255,11134054723.147482
126,bitcoin,2022-12-20,16422.562273279298,316270478163.65466,17719672544.8918
127,bitcoin,2022-12-21,16899.331969046758,325120443529.51874,24938219697.886032
128,bitcoin,2022-12-22,16816.85370118997,323127932459.19025,16062767787.358068
129,bitcoin,2022-12-23,16824.790162441503,323519254392.6745,17847826941.681046
130,bitcoin,2022-12-24,16791.45543916491,323013370317.24255,16765392449.950893
131,bitcoin,2022-12-25,16848.568708323422,324072643385.91296,10169853734.117493
132,bitcoin,2022-12-26,16842.177039905502,323868581953.1157,12574453968.75801
133,bitcoin,2022-12-27,16900.081871938084,325036912914.6697,12574997282.039291
134,bitcoin,2022-12-28,16701.840210667935,321351469136.8621,17436062121.5136
135,bitcoin,2022-12-29,16538.906094001977,318288869204.81464,19113614755.874695
136,bitcoin,2022-12-30,16644.379087037905,320297298175.87695,15683731676.998154
137,bitcoin,2022-12-31,16604.020520373393,319722045805.09534,17497327983.349342
138,bitcoin,2023-01-01,16540.693624776803,318278329991.7019,12013247678.029587
139,bitcoin,2023-01-02,16615.969318012816,319832024054.6308,9799252684.089952
140,bitcoin,2023-01-03,16674.342536301097,321486454934.26776,13023861027.769472
141,bitcoin,2023-01-04,16677.646185850346,321080820418.18396,15367167883.495031
142,bitcoin,2023-01-05,16855.1747387671,324397588037.39484,20836560771.723633
143,bitcoin,2023-01-06,16832.098988497855,324138957221.0557,14919039445.106901
144,bitcoin,2023-01-07,16960.23206247515,326571439011.6566,19046576249.728558
145,bitcoin,2023-01-08,16950.861521853905,326371741274.41095,9594456673.448975
146,bitcoin,2023-01-09,17074.61539572674,328470896861.37854,11841041542.993702
147,bitcoin,2023-01-10,17194.90932945318,331158152699.25574,25532751567.198166
148,bitcoin,2023-01-11,17436.90232978116,335743942932.3494,21858206845.29233
149,bitcoin,2023-01-12,17996.832553741606,345688973386.69006,25439279072.98185
150,bitcoin,2023-01-13,18866.810330617045,363381125082.7658,48025109150.17737
151,bitcoin,2023-01-14,19941.780543296303,382675302196.4898,39514419053.17687
152,bitcoin,2023-01-15,21019.20661402266,405209898132.0056,49498711311.53301
153,bitcoin,2023-01-16,20853.230569490253,401697403586.5178,23072133987.553684
154,bitcoin,2023-01-17,21175.33773662521,407760358639.0028,34809391745.54498
155,bitcoin,2023-01-18,21156.78393116713,407405144842.9396,33278841336.508595
156,bitcoin,2023-01-19,20726.844969426445,399349603616.14526,40612056908.80891
157,bitcoin,2023-01-20,21081.671022204326,406258441952.3726,29144534677.57505
158,bitcoin,2023-01-21,22705.83367889906,436724993652.4275,41321936668.62795
159,bitcoin,2023-01-22,22771.023287021784,438578588179.0604,44077026803.66082
160,bitcoin,2023-01-23,22736.66142892971,438060367560.3554,34124364415.43915
161,bitcoin,2023-01-24,22984.87497643721,442926343072.59235,36750647385.65293
162,bitcoin,2023-01-25,22610.010598272846,435679436196.35767,35621897292.95152
163,bitcoin,2023-01-26,23180.422697874263,446715261348.7517,42772537174.72366
164,bitcoin,2023-01-27,23024.74618081709,444005849172.13904,37099702812.22777
165,bitcoin,2023-01-28,23082.858382122955,444898315874.05536,36109035905.258965
166,bitcoin,2023-01-29,23022.23299135344,443702765526.11646,19567219823.87809
167,bitcoin,2023-01-30,23797.460894881242,458368002025.743,38438621263.58117
168,bitcoin,2023-01-31,22840.385858797104,439295730927.16473,38594596831.97205
169,bitcoin,2023-02-01,23137.323554088376,445991168199.3282,32683643418.329483
170,bitcoin,2023-02-02,23725.161796142238,457383099382.75,37452064508.17389
171,bitcoin,2023-02-03,23539.676770196525,453565018922.54517,44735297656.69828
172,bitcoin,2023-02-04,23451.577650774634,452312595756.25696,41267040610.76361
173,bitcoin,2023-02-05,23340.34958553934,450197147854.798,21063097082.257824
174,bitcoin,2023-02-06,22946.286578591233,442933975658.56586,26678691424.549904
175,bitcoin,2023-02-07,22786.483006387727,438726385719.1618,33963650031.470352
176,bitcoin,2023-02-08,23294.9136483527,449391195299.20337,38850594358.69947
177,bitcoin,2023-02-09,22947.50782856846,442518382691.65485,34247782005.793324
178,bitcoin,2023-02-10,21820.886508092775,420790678627.7739,51161546272.35185
179,bitcoin,2023-02-11,21630.132979576298,417351358181.0193,42389972640.44812
180,bitcoin,2023-02-12,21889.432080049624,422107650473.77954,23574706405.838543
181,bitcoin,2023-02-13,21779.87440384417,420218240428.1313,25877166000.550278
182,bitcoin,2023-02-14,21807.834274723064,420838871938.82733,36761909546.14395
183,bitcoin,2023-02-15,22220.070997481067,428649056117.7321,45363697019.73754
184,bitcoin,2023-02-16,24307.875101631602,468820317786.9533,44336284482.19016
185,bitcoin,2023-02-17,23756.907281577434,459293697174.9459,48144978044.45546
186,bitcoin,2023-02-18,24628.82455217312,475194230168.09973,54200707340.94142
187,bitcoin,2023-02-19,24642.79087073843,475529620771.9494,24900444765.27695
188,bitcoin,2023-02-20,24284.478003714703,470798520570.0436,33664683478.33256
189,bitcoin,2023-02-21,24786.665940845705,478236525469.6496,38997046274.497246
190,bitcoin,2023-02-22,24417.38703630947,470623925511.17865,41991954878.4476
191,bitcoin,2023-02-23,24146.101364545222,465998918250.2451,40336608135.49699
